case_id,term_requested,packet_text,required_fields
C-3300,Fall 2026,Requesting a fall sabbatical to complete a book manuscript; teaching relief plan attached and course coverage confirmed with the chair.,research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3301,Winter 2027,"Sabbatical to develop a research collaboration abroad; funding letter included, but the service plan is still pending.",research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3302,Spring 2027,One-quarter sabbatical to finish three articles; CV and prior-sabbatical report attached.,research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3303,Fall 2026,Requesting leave to build a community partnership; goals are clear but the budget section is missing.,research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3304,Winter 2027,"Sabbatical to redesign a core course sequence; teaching evaluations attached, research statement not yet included.",research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3305,Spring 2027,"Full-year sabbatical for fieldwork; itinerary and risk plan attached, prior-sabbatical report missing.",research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3306,Fall 2026,"Sabbatical to write two grant proposals; research statement strong, teaching relief plan absent.",research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3307,Winter 2027,Leave to complete data analysis from a prior study; all required documents appear attached.,research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3308,Spring 2027,"Requesting sabbatical for a residency; host letter included, service plan and CV outstanding.",research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3309,Fall 2026,"Sabbatical to produce a documentary; creative statement attached, no coverage plan for advising load.",research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3310,Winter 2027,Requesting a fall sabbatical to complete a book manuscript; teaching relief plan attached and course coverage confirmed with the chair.,research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3311,Spring 2027,"Sabbatical to develop a research collaboration abroad; funding letter included, but the service plan is still pending.",research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3312,Fall 2026,One-quarter sabbatical to finish three articles; CV and prior-sabbatical report attached.,research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3313,Winter 2027,Requesting leave to build a community partnership; goals are clear but the budget section is missing.,research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3314,Spring 2027,"Sabbatical to redesign a core course sequence; teaching evaluations attached, research statement not yet included.",research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3315,Fall 2026,"Full-year sabbatical for fieldwork; itinerary and risk plan attached, prior-sabbatical report missing.",research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3316,Winter 2027,"Sabbatical to write two grant proposals; research statement strong, teaching relief plan absent.",research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
C-3317,Spring 2027,Leave to complete data analysis from a prior study; all required documents appear attached.,research statement; teaching relief plan; prior-sabbatical report; service plan; current CV
