response_id,program,instruction_quality,support_quality,nps,what_worked,what_to_improve
R-0184,Data Science Cert,3,4,10,The hands-on labs were the best part and I could apply them at work the next day.,Some readings were outdated and did not match the tools we used in class.
R-0185,Project Mgmt Cert,2,3,10,Instructors gave concrete feedback that actually changed how I approach problems.,I wanted more practice exercises between the bigger assignments.
R-0186,UX Design Cert,2,4,7,The cohort format kept me accountable and I made real professional connections.,"The first two weeks moved slowly, then the workload spiked suddenly."
R-0187,Data Science Cert,4,2,5,Recorded sessions let me catch up when work travel got in the way.,Clearer rubrics up front would have saved me a lot of guessing.
R-0188,Project Mgmt Cert,4,3,9,Capstone project was a great portfolio piece I have already shown an employer.,More examples from non-technical roles would have helped me relate.
R-0189,UX Design Cert,5,5,9,Office hours were genuinely useful when I got stuck on the tooling.,The platform was occasionally buggy and lost my progress once.
R-0190,Data Science Cert,5,3,6,Pacing was steady and the weekly structure made it easy to plan around.,A bit more time on the capstone would have improved the final result.
R-0191,Project Mgmt Cert,3,3,9,Guest speakers tied the lessons to where the field is actually heading.,Office hours filled up fast and I could not always get a slot.
R-0192,UX Design Cert,4,5,8,The hands-on labs were the best part and I could apply them at work the next day.,Some readings were outdated and did not match the tools we used in class.
R-0193,Data Science Cert,5,4,5,Instructors gave concrete feedback that actually changed how I approach problems.,I wanted more practice exercises between the bigger assignments.
R-0194,Project Mgmt Cert,3,5,4,The cohort format kept me accountable and I made real professional connections.,"The first two weeks moved slowly, then the workload spiked suddenly."
R-0195,UX Design Cert,2,2,5,Recorded sessions let me catch up when work travel got in the way.,Clearer rubrics up front would have saved me a lot of guessing.
R-0196,Data Science Cert,3,5,8,Capstone project was a great portfolio piece I have already shown an employer.,More examples from non-technical roles would have helped me relate.
R-0197,Project Mgmt Cert,2,5,7,Office hours were genuinely useful when I got stuck on the tooling.,The platform was occasionally buggy and lost my progress once.
R-0198,UX Design Cert,5,4,8,Pacing was steady and the weekly structure made it easy to plan around.,A bit more time on the capstone would have improved the final result.
R-0199,Data Science Cert,2,2,9,Guest speakers tied the lessons to where the field is actually heading.,Office hours filled up fast and I could not always get a slot.
R-0200,Project Mgmt Cert,4,4,4,The hands-on labs were the best part and I could apply them at work the next day.,Some readings were outdated and did not match the tools we used in class.
R-0201,UX Design Cert,4,5,5,Instructors gave concrete feedback that actually changed how I approach problems.,I wanted more practice exercises between the bigger assignments.
R-0202,Data Science Cert,5,2,9,The cohort format kept me accountable and I made real professional connections.,"The first two weeks moved slowly, then the workload spiked suddenly."
R-0203,Project Mgmt Cert,4,3,8,Recorded sessions let me catch up when work travel got in the way.,Clearer rubrics up front would have saved me a lot of guessing.
R-0204,UX Design Cert,2,4,10,Capstone project was a great portfolio piece I have already shown an employer.,More examples from non-technical roles would have helped me relate.
R-0205,Data Science Cert,3,3,6,Office hours were genuinely useful when I got stuck on the tooling.,The platform was occasionally buggy and lost my progress once.
R-0206,Project Mgmt Cert,3,2,8,Pacing was steady and the weekly structure made it easy to plan around.,A bit more time on the capstone would have improved the final result.
R-0207,UX Design Cert,4,5,4,Guest speakers tied the lessons to where the field is actually heading.,Office hours filled up fast and I could not always get a slot.
R-0208,Data Science Cert,2,4,10,The hands-on labs were the best part and I could apply them at work the next day.,Some readings were outdated and did not match the tools we used in class.
R-0209,Project Mgmt Cert,4,3,4,Instructors gave concrete feedback that actually changed how I approach problems.,I wanted more practice exercises between the bigger assignments.
R-0210,UX Design Cert,3,2,4,The cohort format kept me accountable and I made real professional connections.,"The first two weeks moved slowly, then the workload spiked suddenly."
R-0211,Data Science Cert,5,2,10,Recorded sessions let me catch up when work travel got in the way.,Clearer rubrics up front would have saved me a lot of guessing.
R-0212,Project Mgmt Cert,3,3,9,Capstone project was a great portfolio piece I have already shown an employer.,More examples from non-technical roles would have helped me relate.
R-0213,UX Design Cert,5,3,6,Office hours were genuinely useful when I got stuck on the tooling.,The platform was occasionally buggy and lost my progress once.
